ID,Title,Year,Rating,Country
8695,Remember the Titans,2000,78,United States
8699,The Emperor's New Groove,2000,74,United States
4733,Unbreakable,2000,73,United States
5348,Big Eden,2000,73,United States
190,The Patriot,2000,72,United States
7077,Grateful Dawg,2000,72,United States
4788,Chicken Run,2000,70,United States
6020,Diamond Men,2000,70,United States
4334,Sordid Lives,2000,68,United States
5375,The Original Kings of Comedy,2000,68,United States
8631,"Monsters, Inc.",2001,81,United States
3706,Shrek,2001,79,United States
241,I Am Sam,2001,76,United States
1473,Kevin James: Sweat the Small Stuff,2001,75,United States
6509,Sunshine Hotel,2001,74,United States
4058,Manic,2001,72,United States
4752,A.I. Artificial Intelligence,2001,72,United States
4833,Frailty,2001,72,United States
3802,Super Troopers,2001,71,United States
4872,The Last Castle,2001,70,United States
3701,Catch Me If You Can,2002,81,United States
6970,Apocalypse Soon: The Making of 'Citizen Toxie',2002,79,United States
5359,Standing in the Shadows of Motown,2002,78,United States
136,Road to Perdition,2002,77,United States
4751,Adaptation.,2002,77,United States
3883,Bloody Sunday,2002,76,United States
3720,Ice Age,2002,75,United States
9080,Tru Confessions,2002,75,United States
8698,Lilo & Stitch,2002,73,United States
3799,We Were Soldiers,2002,72,United States
8630,Finding Nemo,2003,81,United States
3712,Big Fish,2003,80,United States
8636,Pirates of the Caribbean: The Curse of the Black Pearl,2003,80,United States
113,Mystic River,2003,79,United States
5858,Faster,2003,78,United States
261,The Life of David Gale,2003,75,United States
4896,House of Sand and Fog,2003,75,United States
3816,Open Range,2003,74,United States
4765,Master and Commander: The Far Side of the World,2003,74,United States
8667,X2,2003,74,United States
4847,Empire of Dreams: The Story of the Star Wars Trilogy,2004,83,United States
80,Million Dollar Baby,2004,81,United States
8639,The Incredibles,2004,80,United States
729,Metallica: Some Kind of Monster,2004,75,United States
117,The Terminal,2004,74,United States
3731,Shrek 2,2004,72,United States
4855,Super Size Me,2004,72,United States
4953,Chisholm '72: Unbought & Unbossed,2004,72,United States
4730,"I, Robot",2004,71,United States
7941,The Nightowls of Coventry,2004,71,United States
5180,George Carlin: Life Is Worth Losing,2005,83,United States
7567,The Busy Little Engine,2005,79,United States
4837,Grizzly Man,2005,78,United States
6101,Joseph Smith: Prophet of the Restoration,2005,78,United States
1452,Sir! No Sir!,2005,77,United States
8867,One Man Band,2005,77,United States
8846,Jack-Jack Attack,2005,76,United States
8657,Star Wars: Episode III - Revenge of the Sith,2005,75,United States
8834,The Greatest Game Ever Played,2005,74,United States
394,The Squid and the Whale,2005,73,United States
25,The Departed,2006,85,United States
1066,Jeff Dunham: Arguing with Myself,2006,80,United States
1110,Jim Gaffigan: Beyond the Pale,2006,79,United States
5931,Get Thrashed,2006,78,United States
6782,"The Doctor, The Tornado & The Kentucky Kid",2006,78,United States
8792,Lifted,2006,78,United States
1083,Katt Williams: The Pimp Chronicles Pt. 1,2006,77,United States
3727,Lucky Number Slevin,2006,77,United States
4242,Neil Young: Heart of Gold,2006,77,United States
5141,Who Killed the Electric Car?,2006,76,United States
5216,Tom Petty and the Heartbreakers: Runnin' Down a Dream,2007,86,United States
79,There Will Be Blood,2007,82,United States
5627,Doug Stanhope: No Refunds,2007,82,United States
8644,Ratatouille,2007,80,United States
84,The Pixar Story,2007,78,United States
101,Guru,2007,77,United States
110,Superbad,2007,76,United States
569,Steal a Pencil for Me,2007,75,United States
1246,Zach Galifianakis: Live at the Purple Onion,2007,73,United States
3748,Sweeney Todd: The Demon Barber of Fleet Street,2007,73,United States
3696,The Dark Knight,2008,90,United States
5026,George Carlin: It's Bad for Ya!,2008,86,United States
7266,SS United States: Lady in Waiting,2008,86,United States
4784,Dear Zachary: A Letter to a Son About His Father,2008,85,United States
8624,WALLÂ·E,2008,84,United States
8771,Presto,2008,83,United States
4737,The Wrestler,2008,79,United States
894,Rock On!!,2008,77,United States
5871,Dreams with Sharp Teeth,2008,77,United States
7235,Vietnam: American Holocaust,2008,77,United States
8628,Up,2009,82,United States
8800,Partly Cloudy,2009,81,United States
8309,Heart of Stone,2009,80,United States
7538,Housequake,2009,79,United States
8187,Pete Correale: The Things We Do For Love,2009,79,United States
8679,Fantastic Mr. Fox,2009,79,United States
890,Jim Gaffigan: King Baby,2009,78,United States
8633,Avatar,2009,78,United States
9074,The Boys: The Sherman Brothers' Story,2009,78,United States
3715,(500) Days of Summer,2009,77,United States
6751,Ruby's Studio: the Feelings Show,2010,98,United States
37,Shutter Island,2010,82,United States
6453,Bad Blood: A Cautionary Tale,2010,82,United States
8634,Toy Story 3,2010,82,United States
8807,Day & Night,2010,80,United States
6585,Sinbad: Where U Been?,2010,79,United States
4770,Jean-Michel Basquiat: The Radiant Child,2010,78,United States
81,The Social Network,2010,77,United States
227,Flipped,2010,77,United States
8660,Tangled,2010,77,United States
5263,Bill Cunningham New York,2011,79,United States
3711,The Girl with the Dragon Tattoo,2011,78,United States
7099,Billy Gardell: Halftime,2011,78,United States
906,Undefeated,2011,77,United States
4062,Beats Rhymes & Life: The Travels of A Tribe Called Quest,2011,77,United States
6547,Family Band: The Cowsills Story,2011,77,United States
119,Being Elmo: A Puppeteer's Journey,2011,76,United States
3723,50/50,2011,76,United States
6301,Eddie Griffin: You Can Tell 'Em I Said It,2011,76,United States
1430,Jeff Dunham: Controlled Chaos,2011,75,United States
29,Django Unchained,2012,84,United States
312,John Mulaney: New in Town,2012,83,United States
685,Bill Burr: You People Are All The Same,2012,83,United States
7241,Dick Winters: Hang Tough,2012,83,United States
1505,Sebastian Maniscalco: What's Wrong with People?,2012,81,United States
7033,A Company Of Heroes,2012,81,United States
7621,Maggie's War,2012,80,United States
8625,The Avengers,2012,80,United States
8796,La luna,2012,80,United States
1165,Jim Gaffigan: Mr. Universe,2012,78,United States
6623,Street Dogs of South Central,2013,85,United States
6768,Local Legends,2013,85,United States
468,Bo Burnham: What.,2013,84,United States
6706,Lincoln@Gettysburg,2013,83,United States
5461,Filmage: The Story of Descendents/All,2013,82,United States
3704,Prisoners,2013,81,United States
3707,12 Years a Slave,2013,81,United States
1069,Mike Birbiglia: My Girlfriend's Boyfriend,2013,80,United States
6498,Keiko The Untold Story of the Star of Free Willy,2013,80,United States
6487,Impact After the Crash,2013,79,United States
6882,Walter Williams: Suffer No Fools,2014,84,United States
650,Bill Burr: I'm Sorry You Feel That Way,2014,83,United States
424,Cowspiracy: The Sustainability Secret,2014,82,United States
9041,Phineas and Ferb: Star Wars,2014,82,United States
943,Jim Jefferies: Bare,2014,81,United States
3700,Gone Girl,2014,81,United States
5117,Valley Uprising,2014,81,United States
7657,Omaha Beach: Honor and Sacrifice,2014,81,United States
918,Mission Blue,2014,80,United States
921,The Battered Bastards of Baseball,2014,80,United States
6245,Mully,2015,82,United States
6890,Brad Williams: Fun Size,2015,82,United States
7767,Pete Correale: Let Me Tell Ya,2015,82,United States
6814,There Is Many Like Us,2015,81,United States
7490,Revival: The Sam Bush Story,2015,81,United States
633,John Mulaney: The Comeback Kid,2015,80,United States
62,Anthony Jeselnik: Thoughts and Prayers,2015,78,United States
72,The Hateful Eight,2015,78,United States
5372,The Resurrection of Jake The Snake,2015,78,United States
6427,Mourning Son,2015,78,United States
6166,Healing Voices,2016,92,United States
347,Bo Burnham: Make Happy,2016,84,United States
7326,Remember Pearl Harbor,2016,84,United States
8753,Piper,2016,84,United States
5233,Gleason,2016,83,United States
258,13th,2016,82,United States
8752,Before the Flood,2016,82,United States
2328,Cristina,2016,80,United States
6987,Come Out Fighting,2016,80,United States
8643,Zootopia,2016,80,United States
6638,Black Jack Pershing: Love and War,2017,88,United States
2404,Roll with Me,2017,84,United States
8632,Coco,2017,84,United States
8821,Newsies: The Broadway Musical,2017,84,United States
95,Cuba and the Cameraman,2017,83,United States
5934,Wait for Your Laugh,2017,83,United States
7234,"Remembering Leonard: His Life, Legacy and Battle with COPD",2017,83,United States
6402,33 & Beyond: The Royal Art of Freemasonry,2017,82,United States
7811,Lewis & Klarq,2017,82,United States
66,Chasing Coral,2017,81,United States
5877,Operation Toussaint,2018,88,United States
7347,C.S. Lewis Onstage: The Most Reluctant Convert,2018,87,United States
115,Springsteen On Broadway,2018,85,United States
8618,Avengers: Infinity War,2018,84,United States
8712,Free Solo,2018,82,United States
1232,My Little Pony: Best Gift Ever,2018,81,United States
3697,Minding the Gap,2018,81,United States
22,John Mulaney: Kid Gorgeous at Radio City,2018,80,United States
7447,Wyeth,2018,80,United States
4017,Active Measures,2018,79,United States
78,Dave Chappelle: Sticks & Stones,2019,85,United States
6849,Steve Trevino: 'Til Death,2019,84,United States
8617,Avengers: Endgame,2019,84,United States
1090,Dancing with the Birds,2019,83,United States
6838,The Days of Noah Part 1: The Flood,2019,83,United States
40,Bill Burr: Paper Tiger,2019,82,United States
6946,Rapid Response,2019,82,United States
3933,The Biggest Little Farm,2019,81,United States
4478,Raise Hell: The Life & Times of Molly Ivins,2019,81,United States
8725,Togo,2019,80,United States
6824,They Come to America IV: Immigration & Politics,2020,90,United States
4931,Uncle Tom,2020,88,United States
8384,Nicole Burch: Never Been Kissed,2020,85,United States
1511,Ben Platt: Live from Radio City Music Hall,2020,84,United States
8674,Hamilton,2020,84,United States
8914,Folklore: The Long Pond Studio Sessions,2020,84,United States
42,Kiss the Ground,2020,83,United States
3969,Derek DelGaudio's In & of Itself,2020,83,United States
561,Disclosure,2020,82,United States
7110,Dan Cummins: Get Outta Here; Devil!,2020,82,United States
1778,In Our Mothers' Gardens,2021,89,United States
2095,7 Yards: The Chris Norton Story,2021,89,United States
139,Bo Burnham: Inside,2021,88,United States
4558,Olympic Dreams Featuring Jonas Brothers,2021,85,United States
3859,"Summer of Soul (...or, When the Revolution Could Not Be Televised)",2021,83,United States
658,Seaspiracy,2021,82,United States
5739,P!nk: All I Know So Far,2021,79,United States
8915,Us Again,2021,79,United States
812,Breaking Boundaries: The Science of Our Planet,2021,78,United States
9177,Playing with Sharks: The Valerie Taylor Story,2021,78,United States